Season,Game #,Date,Age,Team,Opp,Score diff,Played?,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,74,3/30/08,23-091,CLE,PHI,W (+3),1,41:47:00,11,18,0.611,1,2,0.5,3,3,1,3,6,9,9,3,1,1,4,26,29.1,7
5,75,4/2/08,23-094,CLE,CHA,W (+4),1,31:13:00,11,19,0.579,1,4,0.25,6,6,1,2,2,4,5,3,2,4,6,29,23.6,3
5,76,4/3/08,23-095,CLE,CHI,L (-3),1,38:30:00,10,24,0.417,3,7,0.429,10,14,0.714,0,5,5,4,2,2,3,4,33,21.7,-1
5,77,4/5/08,23-097,CLE,ORL,L (-15),1,42:22:00,6,22,0.273,1,5,0.2,4,8,0.5,5,2,7,9,2,2,5,1,17,10.8,-15
5,78,4/9/08,23-101,CLE,NJN,W (+21),1,35:22:00,11,21,0.524,1,4,0.25,10,13,0.769,4,3,7,8,1,2,0,2,33,32.4,10
5,79,4/11/08,23-103,CLE,CHI,L (-5),1,38:11:00,13,21,0.619,2,6,0.333,6,12,0.5,0,6,6,2,3,0,3,2,34,24.5,-10
5,80,4/13/08,23-105,CLE,MIA,W (+8),1,35:15:00,3,9,0.333,0,1,0,7,9,0.778,0,11,11,7,1,2,5,1,13,12.3,-3
5,81,4/14/08,23-106,CLE,PHI,W (+1),1,41:41:00,10,18,0.556,1,2,0.5,6,12,0.5,1,3,4,5,2,1,5,3,27,17.6,-5
5,82,4/16/08,23-108,CLE,DET,L (-10),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,10/28/08,23-303,CLE,BOS,L (-5),1,36:00:00,9,21,0.429,0,4,0,4,8,0.5,1,6,7,6,2,1,3,4,22,14.1,-3
6,2,10/30/08,23-305,CLE,CHA,W (+17),1,30:16:00,7,15,0.467,0,2,0,8,12,0.667,2,7,9,9,0,1,5,3,22,17,10
6,3,11/1/08,23-307,CLE,NOH,L (-12),1,37:43:00,6,15,0.4,0,3,0,3,4,0.75,2,5,7,13,3,0,5,3,15,15.3,-8
6,4,11/3/08,23-309,CLE,DAL,W (+19),1,34:08:00,8,20,0.4,0,2,0,13,15,0.867,2,6,8,3,2,1,1,1,29,24,13
6,5,11/5/08,23-311,CLE,CHI,W (+14),1,35:50:00,13,23,0.565,0,2,0,15,16,0.938,2,7,9,6,4,0,5,1,41,36,22
6,6,11/7/08,23-313,CLE,IND,W (+4),1,39:20:00,11,24,0.458,1,6,0.167,4,7,0.571,2,7,9,8,1,4,4,2,27,21.5,-3
6,7,11/8/08,23-314,CLE,CHI,W (+9),1,39:12:00,13,29,0.448,4,7,0.571,11,13,0.846,4,9,13,4,0,0,2,1,41,31,12
6,8,11/11/08,23-317,CLE,MIL,W (+6),1,42:46:00,16,24,0.667,1,4,0.25,8,10,0.8,0,5,5,6,3,0,2,2,41,35.7,11
6,9,11/13/08,23-319,CLE,DEN,W (+11),1,38:02:00,10,20,0.5,0,0,0,2,4,0.5,1,7,8,11,3,0,5,4,22,18.1,14
6,10,11/15/08,23-321,CLE,UTA,W (+12),1,42:03:00,13,21,0.619,3,7,0.429,9,11,0.818,3,2,5,7,2,2,2,2,38,35.9,33
6,11,11/18/08,23-324,CLE,NJN,W (+24),1,35:58:00,9,20,0.45,1,4,0.25,12,17,0.706,0,8,8,4,0,1,3,3,31,20.3,17
6,12,11/19/08,23-325,CLE,DET,L (-7),1,39:30:00,8,21,0.381,0,4,0,9,10,0.9,1,5,6,6,4,0,3,1,25,20.1,-5
6,13,11/22/08,23-328,CLE,ATL,W (+14),1,36:35:00,8,19,0.421,1,4,0.25,7,7,1,1,6,7,8,2,0,2,3,24,20.8,16
6,14,11/25/08,23-331,CLE,NYK,W (+18),1,30:20:00,7,14,0.5,3,7,0.429,9,11,0.818,0,4,4,1,1,1,1,0,26,20.8,17
6,15,11/26/08,23-332,CLE,OKC,W (+35),1,17:08,7,12,0.583,0,1,0,0,0,0,0,3,3,3,1,3,0,0,14,14.5,24
6,16,11/28/08,23-334,CLE,GSW,W (+15),1,30:39:00,9,13,0.692,3,4,0.75,2,4,0.5,1,6,7,8,3,1,2,2,23,25.7,24
6,17,11/29/08,23-335,CLE,MIL,W (+12),1,41:22:00,12,27,0.444,1,5,0.2,7,10,0.7,1,6,7,5,2,1,3,3,32,21.2,7
6,18,12/3/08,23-339,CLE,NYK,W (+36),1,28:09:00,5,10,0.5,1,4,0.25,10,10,1,0,5,5,6,5,1,0,0,21,27.4,30
6,19,12/5/08,23-341,CLE,IND,W (+24),1,37:37:00,4,12,0.333,0,4,0,3,4,0.75,2,6,8,11,1,3,2,2,11,15,32
6,20,12/6/08,23-342,CLE,CHA,W (+20),1,27:40:00,8,17,0.471,2,4,0.5,7,8,0.875,2,3,5,4,2,2,3,3,25,20.2,27
6,21,12/9/08,23-345,CLE,TOR,W (+20),1,30:24:00,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,27.3,19
6,22,12/10/08,23-346,CLE,PHI,W (+8),1,39:04:00,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,21.5,-1
6,23,12/12/08,23-348,CLE,PHI,W (+16),1,36:50:00,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13
6,24,12/13/08,23-349,CLE,ATL,L (-5),1,45:40:00,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1
